,84000 ID,BDRC ID,Unnamed: 0,tohoku number,84000 name,BDRC names,Found elsewhere (84000 or BDRC)
4,eft:sakyasena,?,,13,sakyasena,"{'P8213': ['rgya gar gyi mkhan po bid+yA ka ra sing ha', 'slob dpon bIr+ya sing+ha pra b+ha/', 'vīryakarasiṁha,vīryasiṁha'], 'P8182': ['zhu chen gyi lots+tsha ba ban de dpal brtsegs', 'ska ba dpal brtsegs/']}",
30,eft:siladharma,https://lod.dila.edu.tw/resource.php?id=A000089,,242,siladharma,"{'P0TMPT007': [""rgya gar gyi d+harma rgya'i yi ge las ban de rnam par mi rtog"", 'rnam par mi rtog pa']}",
32,eft:sarvajnadeva,P00KG07267,,,,,
1,eft:sarvanyadeva,P00KG07267,,5,sarvanyadeva,"kha che'i mkhan po sarba dz+nyA de ba, 'mkhan po sarba dz+nyA de ba/', 'sarvajñādeva'",
20,eft:dharmapala,P0RK8,,160,Dharmapāla,"'d+harma pA la', 'dpal ldan chos skyong /'",
34,eft:hwa-shang-zab-mo,P0TMP080,,,,,
6,eft:anandasri-s-,P0TMP092,,31,anandasri (s),"paN+Di ta chen po A nan+da shrI', 'paN+Di ta A nan+da shrI', 'Ānandaśrī'",
34,eft:jinavara,P0TMP098,,425,Jinavara,"'rgya gar gyi mkhan po dzi na bar', 'rgya gar gyi mkhan po dzi na bar', 'Jinapara'",
44,eft:punyasambhava,P0TMP104,,,,,
35,eft:rnam-par-mi-rtog-pa,P0TMPT007,,,,,
15,eft:silendrabodhi,P1KG8854,,,,,
14,eft:surendrabodhi,P1KG8854,,113,Surendrabodhi,"'shI len dra bo d+hi', 'shI len+dra bo d+hi/', 'śīlendrabodhi'",
17,eft:silendrabodhi,P1KG8854,,138,Śilendrabodhi,,
16,eft:srilendrabodhi,P1KG8854 ,,127,Śrīlendrabodhi,"'rgya gar gyi mkhan po shI len dra bo d+hi', 'shI len+dra bo d+hi/', 'śīlendrabodhi'",
11,eft:prajnavarman,P2548,,,,,
16,eft:prajnavarma,P2548,,,,,
19,eft:prajnavarma,P2548,,153,prajnavarma,"'pradz+nyA bad+ma', 'slob dpon shes rab go cha/', 'prajñāvarman'",
35,eft:trakpa-gyaltsen,P2637,,431,Trakpa Gyaltsen,"'lo ts+tsha ba grags pa rgyal mtshan', 'yar lung lo tsA ba grags pa rgyal mtshan/'",
40,eft:krsnapandita,P2956,,,,,
9,eft:danasila,P3214 ,,86,Danaśila,"'dA na shI la', 'paN chen dA na shI la/', 'dānaśīla'",
33,eft:sakya-yesh-,P3285 ,,384,Śākya Yeshé,"'lots+tsha ba dge slong shAkya ye shes', 'brog mi lo tsA ba shAkya ye shes/'",
18,eft:dipamkarasrijnana,P3379,,150,Dīpaṃkaraśrījñāna,"'rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na', 'slob dpon mar med mdzad bzang po/', 'dīpaṁkaraśrijñāna,atīśa'",
38,eft:dipamkara-srijnana,P3379,,544,Dīpaṃkara Śrījñāna,"rgya gar gyi mkhan po chen po dI paM ka ra shrIdz+nyA na', 'slob dpon mar med mdzad bzang po/', 'dīpaṁkaraśrijñāna,atīśa'",
41,eft:tshul-khrims-rgyal-ba,P3456,,,,,
36,eft:phakpa-sherab,P3709 ,,498,Phakpa Sherab,"bod kyi lo ts+tsha ba 'phags pa shes rab, ""zangs dkar lo tsA ba 'phags pa shes rab/""",
32,eft:sherab-lekpa,P4242,,349,Sherab Lekpa,"'zhu chen gyi lots+tsha ba dge slong shes rab legs pa', 'shes rab legs pa/'",
24,eft:ye-shes-snying-po,P4255,,,,,
11,eft:yesh-nyingpo,P4255,,99,Yeshé Nyingpo,"'lots+tsha ba ban de ye shes snying po', 'lo tsA ba ye shes snying po/', 'Jñānagarbha'",
21,eft:t-jnanagarbha,P4255,,163,t. Jñānagarbha,,
7,eft:dpal-byor,P4258,,,,,
5,eft:ban-de-dpal-gyi-lhun-po,P4259,,,,,
20,eft:dpal-gyi-lhun-po,P4259,,,,,
0,eft:palgyi-lh-npo,P4259,,1-Jan,Palgyi Lhünpo,,
