,toh,84000 ID,84000 name,BDRC ID,84000 role,BDRC role
0,2,eft:jinamitra-k-,Jinamitra,P8209,translatorTib,translatorPandita
1,2,eft:klu-i-rgyal-mtshan,Klu'i rgyal mtshan,P8183,translatorTib,translator
2,3,eft:jinamitra-k-,Jinamitra,P8209,translatorTib,translatorPandita
3,3,eft:klu-i-rgyal-mtshan,Klu'i rgyal mtshan,P8183,translatorTib,translator
4,4,eft:dzi-na-mi-tra-k-,dzi na mi tra,P8209,translatorTib,translatorPandita
5,4,eft:cog-ro-klu-i-rgyal-mtshan,cog ro klu'i rgyal mtshan,P8183,translatorTib,translator
6,5,eft:dharmakara,dharmakara,P8249,translatorTib,translatorPandita
7,5,eft:ban-de-dpal-gyi-lhun-po,ban de dpal gyi lhun po,P4259,translatorTib,translator
8,5,eft:ban-de-dpal-brtsegs,ban de dpal brtsegs,P8182,translatorTib,revisor
9,6,eft:dpal-byor,dpal 'byor,P4258,translatorTib,translator
10,46,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
11,52,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
12,52,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
13,54,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
14,54,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
15,56,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
16,69,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
17,69,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
18,70,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
19,70,eft:danasila,Dānaśīla,P8210,translatorTib,translatorPandita
20,78,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
21,78,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
22,83,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
23,83,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
24,85,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
25,85,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
26,86,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
27,94,eft:dpal-dbyangs,dpal dbyangs,P8260,translatorTib,translator
28,94,eft:ska-ba-dpal-brtsegs,ska ba dpal brtsegs,P8182,reviser,revisor
29,95,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
30,95,eft:danasila,Dānaśīla,P3214,translatorTib,translatorPandita
31,95,eft:munivarman,Munivarman,P8261,translatorTib,translatorPandita
32,96,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
33,97,eft:jinamitra,Jinamitra,P8209,translatorTib,translatorPandita
34,97,eft:silendrabodhi,Śīlendrabodhi,P1KG8854,translatorTib,translatorPandita
35,99,eft:prajnavarman,Prajñāvarman,P2548,translatorTib,translatorPandita
36,100,eft:surendrabodhi,Surendrabodhi,P8228,translatorTib,translatorPandita
