,84000 ID,BDRC ID
0,eft:jinamitra-k-,P8209
1,eft:klu-i-rgyal-mtshan,P8183
2,eft:dzi-na-mi-tra-k-,P8209
3,eft:cog-ro-klu-i-rgyal-mtshan,P8183
4,eft:dharmakara,P8249
5,eft:ban-de-dpal-gyi-lhun-po,P4259
6,eft:ban-de-dpal-brtsegs,P8182
7,eft:dpal-byor,P4258
8,eft:surendrabodhi,P8228
9,eft:jinamitra,P8209
10,eft:danasila,P8210
11,eft:prajnavarman,P2548
12,eft:dpal-dbyangs,P8260
13,eft:munivarman,P8261
14,eft:silendrabodhi,P1KG8854
15,eft:prajnavarma,P2548
16,eft:ye-shes-sde,P8205
17,eft:dgon-gling-rma,P8269
18,eft:dpal-gyi-lhun-po,P4259
19,eft:dpal-brtsegs,P8182
20,eft:sakyaprabha,P4CZ16819
21,eft:dharmatasila,P8266
22,eft:ye-shes-snying-po,P4255
23,eft:visuddhasimha,P8219
24,eft:dge-ba-dpal,P4263
25,eft:devacandra,P8220
26,eft:kamalagupta,P8093
27,eft:rin-chen-bzang-po,P753
28,eft:rin-chen-tsho,P8273
29,eft:jnanagarbha,P8217
30,eft:sarvajnadeva,P00KG07267
31,eft:hwa-shang-zab-mo,P0TMP080
32,eft:munivarma,P8261
33,eft:ratnaraksita,P8265
34,eft:gayadhara,P8151
35,eft:krsnapandita,P2956
36,eft:tshul-khrims-rgyal-ba,P3456
37,eft:celu,P8206
38,eft:jnanasiddhi,P8222
